customer_id,first_name,last_name,gender,date_of_birth,email,phone,pan_number,occupation,annual_income,city,state,country,customer_since,last_updated
1,Ria,Choudhury,F,1933-01-01,barkha41@yahoo.com,6280182089,OGLUH9300U,Farmer,1004388,Guntakal,Odisha,India,2017-11-23,2026-03-23 06:31:28
2,Tamanna,Misra,F,1958-09-27,gvirk@hotmail.com,2641290596,QFXAT5741H,Teacher,3304163,Faridabad,Tripura,India,2024-01-24,2026-03-30 00:14:20
3,Odika,Hegde,F,1916-09-10,nagarajanhenry@yahoo.com,0005783470,OTGVO4957U,Government Employee,737682,Kolhapur,Chhattisgarh,India,2017-01-10,2026-03-11 14:24:54
4,Aashi,Badami,F,2013-07-17,zansikuruvilla@yahoo.com,9327772576,TJTXG7907A,Student,3444405,Madhyamgram,Rajasthan,India,2021-04-26,2026-05-27 08:17:21
5,Alka,Sanghvi,F,1919-06-27,sundaramtriya@gmail.com,6421676533,HDNIP9161Z,Teacher,1418217,Katihar,Jharkhand,India,2020-01-21,2026-06-10 09:44:46
6,Mekhala,Dani,F,2004-04-25,panini25@yahoo.com,0835870012,SKAOQ9346T,Software Engineer,2583870,Thiruvananthapuram,Assam,India,2023-06-17,2026-05-02 13:38:19
7,Jasmit,Bala,F,1982-01-09,ganeshbanjeet@hotmail.com,3905069198,GJNOZ5906X,Business,426933,Ahmedabad,Uttar Pradesh,India,2021-02-20,2026-06-29 16:36:32
8,Simon,Loke,M,1953-10-13,jhalakchatterjee@hotmail.com,5018688826,KKWNC5073J,Farmer,3223882,Dehri,Haryana,India,2017-12-13,2026-02-17 22:36:39
9,Kritika,Nagarajan,F,1935-02-04,jhaveriyashawini@gmail.com,0287219359,DZOHE9924S,Lawyer,871868,Morbi,Odisha,India,2019-11-23,2026-07-06 09:08:09
10,Megha,Goda,F,1993-04-08,priya02@gmail.com,2375142249,ACWAS8494D,Student,3547419,Udaipur,Meghalaya,India,2016-10-04,2026-06-01 11:25:53
11,Umang,Gola,M,1951-01-23,rdixit@yahoo.com,3793301066,WIFJV2056B,Farmer,1456934,Patiala,Telangana,India,2024-11-09,2026-06-11 07:12:53
12,Brinda,Varughese,F,1988-06-27,omisha84@hotmail.com,6625527343,GDPVJ3078Q,Lawyer,631969,Tadipatri,Maharashtra,India,2022-06-17,2026-07-07 15:13:59
13,Krishna,Bandi,F,1995-03-30,katapriya@hotmail.com,8917776609,ZWIDD4911O,Farmer,467849,Bhimavaram,Uttarakhand,India,2020-07-10,2026-04-27 12:54:53
14,Unni,Chandran,F,1941-05-20,qushibajwa@hotmail.com,9776161033,ILDET5141Z,Student,2796226,Akola,Goa,India,2017-08-05,2026-02-11 05:42:02
15,Laksh,Vig,M,1950-05-16,anamikabalay@yahoo.com,0243812177,QNAWO8163M,Lawyer,3572832,Farrukhabad,Bihar,India,2017-06-28,2026-01-01 03:25:00
16,Chandran,Arya,M,2002-07-05,jhalaknagi@hotmail.com,4236497615,EUMLA8937A,Doctor,2586459,Nellore,Meghalaya,India,2020-06-02,2026-07-06 10:41:25
17,Idika,Hora,F,1928-10-13,ayushman95@gmail.com,4965417952,VNVBI2160J,Lawyer,1094213,Dhule,Rajasthan,India,2023-06-09,2026-06-12 14:57:16
18,Triveni,Andra,F,1997-10-27,xavierwalia@hotmail.com,5578387186,RYHAY6978Y,Teacher,3791224,Jaunpur,Tamil Nadu,India,2021-07-26,2026-02-12 09:21:25
19,Aachal,Bhat,F,1936-06-06,gargdamyanti@hotmail.com,1254309643,KYFTE8786Z,Farmer,1225400,Darbhanga,Maharashtra,India,2020-12-09,2026-03-05 19:04:09
20,Dipta,Narasimhan,F,2024-10-17,omisha81@hotmail.com,8771123755,SBIFZ9494O,Teacher,851997,Jabalpur,Nagaland,India,2025-02-19,2026-01-28 03:57:00
